DATE,DEXUSAL
1/4/71,1.1127
1/5/71,1.1132
1/6/71,1.114
1/7/71,1.1138
1/8/71,1.1124
1/11/71,1.1152
1/12/71,1.1156
1/13/71,1.1165
1/14/71,1.1189
1/15/71,1.1182
1/18/71,1.1179
1/19/71,1.1193
1/20/71,1.1193
1/21/71,1.1198
1/22/71,1.1204
1/25/71,1.1224
1/26/71,1.123
1/27/71,1.123
1/28/71,1.1234
1/29/71,1.1236
2/1/71,1.1241
2/2/71,1.124
2/3/71,1.1241
2/4/71,1.1233
2/5/71,1.1224
2/8/71,1.124
2/9/71,1.1226
2/10/71,1.1229
2/11/71,1.1229
2/12/71,.
2/15/71,.
2/16/71,1.1245
2/17/71,1.1245
2/18/71,1.1244
2/19/71,1.1244
2/22/71,1.1245
2/23/71,1.1245
2/24/71,1.1245
2/25/71,1.1238
2/26/71,1.123
3/1/71,1.1231
3/2/71,1.1241
3/3/71,1.1245
3/4/71,1.1239
3/5/71,1.1241
3/8/71,1.1245
3/9/71,1.1244
3/10/71,1.1245
3/11/71,1.1243
3/12/71,1.1245
3/15/71,1.1245
3/16/71,1.1241
3/17/71,1.1246
3/18/71,1.1244
3/19/71,1.1244
3/22/71,1.1245
3/23/71,1.1245
3/24/71,1.1246
3/25/71,1.1241
3/26/71,1.1243
3/29/71,1.1246
3/30/71,1.124
3/31/71,1.1234
4/1/71,1.1224
4/2/71,1.1213
4/5/71,1.123
4/6/71,1.1243
4/7/71,1.1234
4/8/71,1.1233
4/9/71,1.1233
4/12/71,1.1234
4/13/71,1.1233
4/14/71,1.1239
4/15/71,1.1242
4/16/71,1.1242
4/19/71,1.1245
4/20/71,1.1245
4/21/71,1.1246
4/22/71,1.1242
4/23/71,1.1243
4/26/71,1.1243
4/27/71,1.1244
4/28/71,1.1246
4/29/71,1.1245
4/30/71,1.1245
5/3/71,1.1243
5/4/71,1.1242
5/5/71,1.1246
5/6/71,1.1242
5/7/71,1.1243
5/10/71,1.1236
5/11/71,1.1235
5/12/71,1.124
5/13/71,1.124
5/14/71,1.1242
5/17/71,1.1245
5/18/71,1.1244
5/19/71,1.1246
5/20/71,1.1245
5/21/71,1.1246
5/24/71,1.1246
5/25/71,1.1244
5/26/71,1.1246
5/27/71,1.1243
5/28/71,1.1238
5/31/71,.
6/1/71,1.1231
6/2/71,1.1234
6/3/71,1.1243
6/4/71,1.1244
6/7/71,1.1245
6/8/71,1.1243
6/9/71,1.1246
6/10/71,1.1245
6/11/71,1.1246
6/14/71,1.1242
6/15/71,1.1242
6/16/71,1.1245
6/17/71,1.1243
6/18/71,1.1244
6/21/71,1.1244
6/22/71,1.1244
6/23/71,1.1246
6/24/71,1.1244
6/25/71,1.1244
6/28/71,1.1242
6/29/71,1.1244
6/30/71,1.1246
7/1/71,1.1243
7/2/71,1.1243
7/5/71,.
7/6/71,1.124
7/7/71,1.1242
7/8/71,1.1242
7/9/71,1.1241
7/12/71,1.124
7/13/71,1.1239
7/14/71,1.1242
7/15/71,1.1242
7/16/71,1.1243
7/19/71,1.124
7/20/71,1.124
7/21/71,1.1244
7/22/71,1.1243
7/23/71,1.1243
7/26/71,1.1239
7/27/71,1.1238
7/28/71,1.1241
7/29/71,1.1241
7/30/71,1.1241
8/2/71,1.1237
8/3/71,1.1235
8/4/71,1.1245
8/5/71,1.124
8/6/71,1.1241
8/9/71,1.1245
8/10/71,1.1242
8/11/71,1.1247
8/12/71,1.1246
8/13/71,1.1246
8/16/71,.
8/17/71,.
8/18/71,.
8/19/71,.
8/20/71,.
8/23/71,1.1318
8/24/71,1.1363
8/25/71,1.1428
8/26/71,1.1492
8/27/71,1.1478
8/30/71,1.1471
8/31/71,1.1406
9/1/71,1.1409
9/2/71,1.1423
9/3/71,1.1432
9/6/71,.
9/7/71,1.1427
9/8/71,1.1427
9/9/71,1.1428
9/10/71,1.1431
9/13/71,1.1435
9/14/71,1.1465
9/15/71,1.1485
9/16/71,1.1485
9/17/71,1.149
9/20/71,1.15
9/21/71,1.1496
9/22/71,1.15
9/23/71,1.153
9/24/71,1.1539
9/27/71,1.153
9/28/71,1.1518
9/29/71,1.1545
9/30/71,1.1549
10/1/71,1.157
10/4/71,1.1569
10/5/71,1.1571
10/6/71,1.1567
10/7/71,1.1571
10/8/71,1.1574
10/11/71,.
10/12/71,1.1572
10/13/71,1.157
10/14/71,1.1572
10/15/71,1.1569
10/18/71,1.1571
10/19/71,1.1571
10/20/71,1.1579
10/21/71,1.1584
10/22/71,1.1586
10/25/71,.
10/26/71,1.1592
10/27/71,1.1595
10/28/71,1.1592
10/29/71,1.158
11/1/71,1.1586
11/2/71,.
11/3/71,1.1587
11/4/71,1.1587
11/5/71,1.159
11/8/71,1.1588
11/9/71,1.1586
11/10/71,1.1586
11/11/71,1.1589
11/12/71,1.1591
11/15/71,1.1588
11/16/71,1.1587
11/17/71,1.1591
11/18/71,1.159
11/19/71,1.1592
11/22/71,1.1591
11/23/71,1.1592
11/24/71,1.159
11/25/71,.
11/26/71,1.1591
11/29/71,1.1592
11/30/71,1.1591
12/1/71,1.1592
12/2/71,1.1588
12/3/71,1.1613
12/6/71,1.161
12/7/71,1.1625
12/8/71,1.1657
12/9/71,1.1702
12/10/71,1.1704
12/13/71,1.1708
12/14/71,1.1708
12/15/71,1.171
12/16/71,1.1712
12/17/71,1.1756
12/20/71,.
12/21/71,.
12/22/71,1.1871
12/23/71,1.1864
12/24/71,1.1871
12/27/71,1.1882
12/28/71,1.1879
12/29/71,1.1888
12/30/71,1.1887
12/31/71,1.1887
1/3/72,1.191
1/4/72,1.19
1/5/72,1.1905
1/6/72,1.1905
1/7/72,1.1905
1/10/72,1.1905
1/11/72,1.191
1/12/72,1.19
1/13/72,1.1915
1/14/72,1.193
1/17/72,1.192
1/18/72,1.192
1/19/72,1.192
1/20/72,1.188
1/21/72,1.191
1/24/72,1.1915
1/25/72,1.1915
1/26/72,1.191
1/27/72,1.191
1/28/72,1.191
1/31/72,1.191
2/1/72,1.191
2/2/72,1.191
2/3/72,1.191
2/4/72,1.191
2/7/72,1.191
2/8/72,1.191
2/9/72,1.191
2/10/72,1.191
2/11/72,1.191
2/14/72,1.191
2/15/72,1.191
2/16/72,1.191
2/17/72,1.191
2/18/72,1.191
2/21/72,.
2/22/72,1.191
2/23/72,1.191
2/24/72,1.191
2/25/72,1.191
2/28/72,1.191
2/29/72,1.191
3/1/72,1.191
3/2/72,1.191
3/3/72,1.191
3/6/72,1.191
3/7/72,1.191
3/8/72,1.191
3/9/72,1.191
3/10/72,1.191
3/13/72,1.191
3/14/72,1.191
3/15/72,1.191
3/16/72,1.191
3/17/72,1.191
3/20/72,1.191
3/21/72,1.191
3/22/72,1.191
3/23/72,1.191
3/24/72,1.191
3/27/72,1.191
3/28/72,1.191
3/29/72,1.191
3/30/72,1.191
3/31/72,1.191
4/3/72,1.191
4/4/72,1.191
4/5/72,1.191
4/6/72,1.191
4/7/72,1.191
4/10/72,1.191
4/11/72,1.191
4/12/72,1.191
4/13/72,1.191
4/14/72,1.191
4/17/72,1.191
4/18/72,1.191
4/19/72,1.191
4/20/72,1.191
4/21/72,1.191
4/24/72,1.191
4/25/72,1.191
4/26/72,1.191
4/27/72,1.191
4/28/72,1.191
5/1/72,1.191
5/2/72,1.191
5/3/72,1.191
5/4/72,1.191
5/5/72,1.191
5/8/72,1.191
5/9/72,1.191
5/10/72,1.191
5/11/72,1.191
5/12/72,1.191
5/15/72,1.191
5/16/72,1.191
5/17/72,1.191
5/18/72,1.191
5/19/72,1.191
5/22/72,1.191
5/23/72,1.191
5/24/72,1.191
5/25/72,1.191
5/26/72,1.191
5/29/72,.
5/30/72,1.191
5/31/72,1.191
6/1/72,1.191
6/2/72,1.191
6/5/72,1.191
6/6/72,1.191
6/7/72,1.191
6/8/72,1.191
6/9/72,1.191
6/12/72,1.191
6/13/72,1.191
6/14/72,1.191
6/15/72,1.191
6/16/72,1.191
6/19/72,1.191
6/20/72,1.191
6/21/72,1.191
6/22/72,1.191
6/23/72,.
6/26/72,.
6/27/72,.
6/28/72,.
6/29/72,1.191
6/30/72,1.191
7/3/72,1.191
7/4/72,.
7/5/72,1.191
7/6/72,1.191
7/7/72,1.191
7/10/72,1.191
7/11/72,1.191
7/12/72,1.191
7/13/72,1.191
7/14/72,1.191
7/17/72,1.191
7/18/72,1.191
7/19/72,1.191
7/20/72,1.191
7/21/72,1.191
7/24/72,1.191
7/25/72,1.191
7/26/72,1.191
7/27/72,1.191
7/28/72,1.191
7/31/72,1.191
8/1/72,1.191
8/2/72,1.191
8/3/72,1.191
8/4/72,1.191
8/7/72,1.191
8/8/72,1.194
8/9/72,1.191
8/10/72,1.191
8/11/72,1.191
8/14/72,1.191
8/15/72,1.191
8/16/72,1.191
8/17/72,1.191
8/18/72,1.191
8/21/72,1.191
8/22/72,1.191
8/23/72,1.191
8/24/72,1.191
8/25/72,1.191
8/28/72,1.191
8/29/72,1.191
8/30/72,1.191
8/31/72,1.191
9/1/72,1.191
9/4/72,.
9/5/72,1.191
9/6/72,1.191
9/7/72,1.191
9/8/72,1.191
9/11/72,1.191
9/12/72,1.191
9/13/72,1.191
9/14/72,1.191
9/15/72,1.191
9/18/72,1.191
9/19/72,1.191
9/20/72,1.191
9/21/72,1.191
9/22/72,1.191
9/25/72,1.191
9/26/72,1.191
9/27/72,1.191
9/28/72,1.191
9/29/72,1.191
10/2/72,1.191
10/3/72,1.191
10/4/72,1.191
10/5/72,1.191
10/6/72,1.191
10/9/72,.
10/10/72,1.191
10/11/72,1.191
10/12/72,1.191
10/13/72,1.191
10/16/72,1.19
10/17/72,1.19
10/18/72,1.19
10/19/72,1.19
10/20/72,1.19
10/23/72,.
10/24/72,1.191
10/25/72,1.191
10/26/72,1.191
10/27/72,1.191
10/30/72,1.19
10/31/72,1.191
11/1/72,1.191
11/2/72,1.191
11/3/72,1.191
11/6/72,1.191
11/7/72,.
11/8/72,1.191
11/9/72,1.191
11/10/72,1.191
11/13/72,1.191
11/14/72,1.191
11/15/72,1.191
11/16/72,1.191
11/17/72,1.191
11/20/72,1.19
11/21/72,1.191
11/22/72,1.191
11/23/72,.
11/24/72,1.19
11/27/72,1.191
11/28/72,1.191
11/29/72,1.191
11/30/72,1.191
12/1/72,1.191
12/4/72,1.191
12/5/72,1.191
12/6/72,1.191
12/7/72,1.191
12/8/72,1.191
12/11/72,1.191
12/12/72,1.191
12/13/72,1.191
12/14/72,1.191
12/15/72,1.191
12/18/72,1.191
12/19/72,1.191
12/20/72,1.191
12/21/72,1.191
12/22/72,1.191
12/25/72,.
12/26/72,1.2726
12/27/72,1.273
12/28/72,1.273
12/29/72,1.2732
1/1/73,.
1/2/73,1.2732
1/3/73,1.273
1/4/73,1.273
1/5/73,1.273
1/8/73,1.273
1/9/73,1.273
1/10/73,1.273
1/11/73,1.271
1/12/73,1.271
1/15/73,1.271
1/16/73,1.271
1/17/73,1.271
1/18/73,1.271
1/19/73,1.271
1/22/73,1.271
1/23/73,1.271
1/24/73,1.271
1/25/73,1.271
1/26/73,1.271
1/29/73,1.271
1/30/73,1.271
1/31/73,1.271
2/1/73,1.271
2/2/73,1.271
2/5/73,1.271
2/6/73,1.271
2/7/73,1.271
2/8/73,1.271
2/9/73,1.271
2/12/73,.
2/13/73,.
2/14/73,1.415
2/15/73,1.417
2/16/73,1.417
2/19/73,.
2/20/73,1.417
2/21/73,1.41
2/22/73,1.41
2/23/73,1.41
2/26/73,1.415
2/27/73,1.41
2/28/73,1.41
3/1/73,1.41
3/2/73,.
3/5/73,1.4191
3/6/73,1.42
3/7/73,1.42
3/8/73,1.41
3/9/73,1.412
3/12/73,1.41
3/13/73,1.41
3/14/73,1.41
3/15/73,1.41
3/16/73,1.41
3/19/73,1.41
3/20/73,1.41
3/21/73,1.41
3/22/73,1.41
3/23/73,1.415
3/26/73,1.415
3/27/73,1.415
3/28/73,1.415
3/29/73,1.415
3/30/73,1.415
4/2/73,1.415
4/3/73,1.415
4/4/73,1.415
4/5/73,1.415
4/6/73,1.415
4/9/73,1.415
4/10/73,1.415
4/11/73,1.415
4/12/73,1.415
4/13/73,1.415
4/16/73,1.415
4/17/73,1.415
4/18/73,1.415
4/19/73,1.415
4/20/73,1.415
4/23/73,1.415
4/24/73,1.415
4/25/73,1.415
4/26/73,1.415
4/27/73,1.415
4/30/73,1.415
5/1/73,1.415
5/2/73,1.415
5/3/73,1.415
5/4/73,1.415
5/7/73,1.415
5/8/73,1.415
5/9/73,1.415
5/10/73,1.415
5/11/73,1.415
5/14/73,1.415
5/15/73,1.415
5/16/73,1.415
5/17/73,1.415
5/18/73,1.415
5/21/73,1.415
5/22/73,1.415
5/23/73,1.415
5/24/73,1.415
5/25/73,1.415
5/28/73,.
5/29/73,1.415
5/30/73,1.415
5/31/73,1.415
6/1/73,1.415
6/4/73,1.415
6/5/73,1.415
6/6/73,1.415
6/7/73,1.415
6/8/73,1.415
6/11/73,1.415
6/12/73,1.415
6/13/73,1.415
6/14/73,1.415
6/15/73,1.415
6/18/73,1.415
6/19/73,1.415
6/20/73,1.415
6/21/73,1.415
6/22/73,1.421
6/25/73,1.419
6/26/73,1.419
6/27/73,1.4175
6/28/73,1.415
6/29/73,1.4155
7/2/73,1.42
7/3/73,1.4125
7/4/73,.
7/5/73,1.415
7/6/73,1.42
7/9/73,1.42
7/10/73,1.42
7/11/73,1.4175
7/12/73,1.4175
7/13/73,1.4175
7/16/73,1.4175
7/17/73,1.42
7/18/73,1.42
7/19/73,1.42
7/20/73,1.4225
7/23/73,1.4115
7/24/73,1.4115
7/25/73,1.4115
7/26/73,1.42
7/27/73,1.42
7/30/73,1.42
7/31/73,1.42
8/1/73,1.41
8/2/73,1.415
8/3/73,1.418
8/6/73,1.415
8/7/73,1.415
8/8/73,1.416
8/9/73,1.416
8/10/73,1.416
8/13/73,1.414
8/14/73,1.414
8/15/73,1.414
8/16/73,1.415
8/17/73,1.415
8/20/73,1.415
8/21/73,1.415
8/22/73,1.4158
8/23/73,1.414
8/24/73,1.414
8/27/73,1.414
8/28/73,1.414
8/29/73,1.414
8/30/73,1.416
8/31/73,1.416
9/3/73,.
9/4/73,1.414
9/5/73,1.414
9/6/73,1.414
9/7/73,1.414
9/10/73,1.485
9/11/73,1.486
9/12/73,1.486
9/13/73,1.4825
9/14/73,1.4825
9/17/73,1.4825
9/18/73,1.4825
9/19/73,1.4825
9/20/73,1.4825
9/21/73,1.4825
9/24/73,1.4825
9/25/73,1.4825
9/26/73,1.4825
9/27/73,1.48
9/28/73,1.48
10/1/73,1.48
10/2/73,1.4825
10/3/73,1.4825
10/4/73,1.4825
10/5/73,1.4825
10/8/73,.
10/9/73,1.4825
10/10/73,1.4825
10/11/73,1.4825
10/12/73,1.4825
10/15/73,1.4825
10/16/73,1.4825
10/17/73,1.4825
10/18/73,1.485
10/19/73,1.485
10/22/73,.
10/23/73,1.48
10/24/73,1.48
10/25/73,1.48
10/26/73,1.48
10/29/73,1.485
10/30/73,1.485
10/31/73,1.48
11/1/73,1.48
11/2/73,1.485
11/5/73,1.486
11/6/73,.
11/7/73,1.483
11/8/73,1.4825
11/9/73,1.4835
11/12/73,1.4825
11/13/73,1.48
11/14/73,1.48
11/15/73,1.4825
11/16/73,1.4825
11/19/73,1.482
11/20/73,1.483
11/21/73,1.483
11/22/73,.
11/23/73,1.482
11/26/73,1.481
11/27/73,1.481
11/28/73,1.482
11/29/73,1.48
11/30/73,1.482
12/3/73,1.483
12/4/73,1.483
12/5/73,1.483
12/6/73,1.4825
12/7/73,1.4885
12/10/73,1.4885
12/11/73,1.484
12/12/73,1.485
12/13/73,1.484
12/14/73,1.484
12/17/73,1.4825
12/18/73,1.4825
12/19/73,1.4825
12/20/73,1.4825
12/21/73,1.4825
12/24/73,1.4805
12/25/73,.
12/26/73,1.4825
12/27/73,1.48
12/28/73,1.4825
12/31/73,1.4825
1/1/74,.
1/2/74,1.4825
1/3/74,1.482
1/4/74,1.482
1/7/74,1.482
1/8/74,1.4825
1/9/74,1.4825
1/10/74,1.4825
1/11/74,1.4775
1/14/74,1.48
1/15/74,1.48
1/16/74,1.48
1/17/74,1.48
1/18/74,1.48
1/21/74,1.48
1/22/74,1.485
1/23/74,1.485
1/24/74,1.485
1/25/74,1.485
1/28/74,1.4825
1/29/74,1.485
1/30/74,1.485
1/31/74,1.485
2/1/74,1.4825
2/4/74,1.4825
2/5/74,1.4825
2/6/74,1.485
2/7/74,1.485
2/8/74,1.485
2/11/74,1.485
2/12/74,.
2/13/74,1.485
2/14/74,1.485
2/15/74,1.4875
2/18/74,.
2/19/74,1.485
2/20/74,1.485
2/21/74,1.485
2/22/74,1.485
2/25/74,1.4875
2/26/74,1.485
2/27/74,1.485
2/28/74,1.4875
3/1/74,1.4875
3/4/74,1.485
3/5/74,1.485
3/6/74,1.485
3/7/74,1.4875
3/8/74,1.4875
3/11/74,1.4875
3/12/74,1.485
3/13/74,1.485
3/14/74,1.485
3/15/74,1.485
3/18/74,1.485
3/19/74,1.485
3/20/74,1.485
3/21/74,1.485
3/22/74,1.485
3/25/74,1.485
3/26/74,1.485
3/27/74,1.485
3/28/74,1.485
3/29/74,1.485
4/1/74,1.485
4/2/74,1.485
4/3/74,1.485
4/4/74,1.485
4/5/74,1.485
4/8/74,1.485
4/9/74,1.485
4/10/74,1.485
4/11/74,1.485
4/12/74,1.485
4/15/74,1.485
4/16/74,1.4825
4/17/74,1.4825
4/18/74,1.4825
4/19/74,1.4825
4/22/74,1.4825
4/23/74,1.4825
4/24/74,1.4825
4/25/74,1.4825
4/26/74,1.485
4/29/74,1.485
4/30/74,1.485
5/1/74,1.485
5/2/74,1.485
5/3/74,1.485
